Lat,Lon,Title,X.1,FECHA,NOMBRE,MEDIO,GÉNERO,SEXENIO,X.2,X.3
20.9876996,-101,Guanajuato,,2020/11/09,Israel Vázquez Rangel,El Salmantino,masculino,Andrés Manuel López Obrador,,
23.0823582,-103.2085698,Zacatecas,,2020/12/09,Jaime Daniel Castaño Zacarías,Portal prensalibremx.com ,masculino,Andrés Manuel López Obrador,,
29.3333331,-110.6666671,Sonora,,2021/05/03,Benjamín Morales Hernández,Noticias Xonoidag,masculino,Andrés Manuel López Obrador,,
17,-96.5,Oaxaca,,2021/06/17,Gustavo Sánchez Cabrera,Noticias Minuto a Minuto,masculino,Andrés Manuel López Obrador,,
27.3333331,-102.0000001,Coahuila,,2021/06/22,Saúl Tijerina Rentería,Noticias en la Web,masculino,Andrés Manuel López Obrador,,
29.3333331,-110.6666671,Sonora,,2021/07/22,Ricardo López Domínguez,Infoguaymas,masculino,Andrés Manuel López Obrador,,
19.333333,-96.666667,Veracruz,,2021/08/19,Jacinto Romero Flores,Ori Stereo,masculino,Andrés Manuel López Obrador,,
16.5000001,-92.5000001,Chiapas,,2021/10/28,Fredy López Arévalo,Revista Jovel,masculino,Andrés Manuel López Obrador,,
17.666667,-100,Guerrero,,2021/10/31,Alfredo Cardoso Echeverría,Las Dos Costas,masculino,Andrés Manuel López Obrador,,
19.333333,-96.666667,Veracruz,,2022/01/10,José Luis Arenas Gamboa,Inforegio Network,masculino,Andrés Manuel López Obrador,,
30.0338923,-115.1425107,Baja California,,2022/01/17,Margarito Martínez,freelance,masculino,Andrés Manuel López Obrador,,
30.0338923,-115.1425107,Baja California,,2022/01/23,Lourdes Maldonado López,Sintoniza Sin Censura,femenino,Andrés Manuel López Obrador,,
19.207098,-101.878113,Michoacán,,2022/01/31,Roberto Toledo,Monitor Michoacán,masculino,Andrés Manuel López Obrador,,
17,-96.5,Oaxaca,,2022/02/10,Heber López Vázquez,Noticias web,masculino,Andrés Manuel López Obrador,,
